fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
55,SANTIAGO DE MARIA,1121,18201,10172,3833,2671,1137,34858,16161,51019
146,TECAPAN,1122,7697,1846,1676,2703,1411,6938,3315,10253
151,USULUTAN,1123,73064,36749,13178,13708,7425,5361,3690,9051
161,CAROLINA,1201,8240,612,579,4109,2725,16999,9185,26184
163,CIUDAD BARRIOS,1202,24817,5170,1722,10666,5027,48961,20588,69549
176,COMACARAN,1203,3199,284,156,1677,980,10739,7580,18319
164,CHAPELTIQUE,1204,10728,1748,610,4273,3792,22633,11146,33779
168,CHINAMECA,1205,22311,4304,1801,9206,6472,42170,27052,69222
174,CHIRILAGUA,1206,19984,2225,816,12199,4370,3431,6361,9792
173,EL TRANSITO,1207,18363,5616,1921,7876,2766,3551,1894,5445
165,LOLOTIQUE,1208,14916,2421,1917,6785,3583,20646,27284,47930
166,MONCAGUA,1209,22659,4504,1902,11808,4198,14622,9404,24026
167,NUEVA GUADALUPE,1210,8905,3564,1457,2652,1162,18669,6001,24670
157,NUEVO EDEN DE SAN JUAN,1211,4034,488,87,2551,838,6165,5062,11227
170,QUELEPA,1212,4049,1578,763,1268,383,17357,22248,39605
162,SAN ANTONIO,1213,5304,233,186,2127,2656,44205,15841,60046
159,SAN GERARDO,1214,5986,679,284,3590,1338,16574,8233,24807
169,SAN JORGE,1215,9115,1646,893,3974,2412,11833,7192,19025
160,SAN LUIS DE LA REINA,1216,5637,712,367,3256,1234,73848,28166,102014
171,SAN MIGUEL,1217,218410,118238,34928,42611,15832,45838,18210,64048
172,SAN RAFAEL ORIENTE,1218,13290,3869,1624,4869,2697,169465,66421,235886
156,SESORI,1219,10705,754,252,6179,2955,241831,64403,306234
175,ULUAZAPA,1220,3351,573,671,1086,946,104367,31741,136108
180,ARAMBALA,1301,1821,215,43,816,706,24435,7738,32173
178,CACAOPERA,1302,10943,494,557,2309,6785,76838,38273,115111
124,CORINTO,1303,15410,2252,1056,7263,4333,48453,21747,70200
116,CHILANGA,1304,9700,674,526,4401,3818,61386,27606,88992
190,DELICIAS DE CONCEPCION,1305,5076,1286,697,1739,1252,87758,38113,125871
122,EL DIVISADERO,1306,7617,563,245,4396,2293,20275,8708,28983
185,EL ROSARIO,1307,1339,243,230,649,185,14595,8123,22718
189,GUALOCOCTI,1308,3650,351,541,937,1578,15035,5458,20493
117,GUATAJIAGUA,1309,11721,1821,1856,4013,3477,9924,4361,14285
187,JOATECA,1310,4210,491,312,1881,1463,2693,5002,7695
182,JOCOAITIQUE,1311,2877,485,322,1003,969,15340,12860,28200
123,JOCORO,1312,10060,2180,808,5008,1755,5159,3145,8304
115,LOLOTIQUILLO,1313,4915,411,594,2037,1748,6178,6231,12409
