,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
338,TEPETITAN,1012,1012,RURAL,NA,21,58,1707
339,VERAPAZ,1013,1013,URBANO,1,10,182,2262
340,VERAPAZ,1013,1013,RURAL,1,30,78,3693
341,ALEGRIA,1101,1101,URBANO,NA,1,163,1381
342,ALEGRIA,1101,1101,RURAL,NA,148,137,9882
343,BERLIN,1102,1102,URBANO,13,167,722,8880
344,BERLIN,1102,1102,RURAL,NA,70,NA,7935
345,CALIFORNIA,1103,1103,URBANO,NA,1,40,1604
346,CALIFORNIA,1103,1103,RURAL,NA,27,12,944
347,CONCEPCION BATRES,1104,1104,URBANO,11,26,352,2825
348,CONCEPCION BATRES,1104,1104,RURAL,NA,97,188,8698
349,EL TRIUNFO,1105,1105,URBANO,NA,9,365,2698
350,EL TRIUNFO,1105,1105,RURAL,NA,28,101,3723
351,EREGUAYQUIN,1106,1106,URBANO,NA,3,159,1758
352,EREGUAYQUIN,1106,1106,RURAL,NA,55,164,3980
353,ESTANZUELAS,1107,1107,URBANO,NA,66,197,3610
354,ESTANZUELAS,1107,1107,RURAL,NA,85,52,5005
355,JIQUILISCO,1108,1108,URBANO,NA,241,1320,18709
356,JIQUILISCO,1108,1108,RURAL,NA,239,374,26901
357,JUCUAPA,1109,1109,URBANO,308,113,1194,8853
358,JUCUAPA,1109,1109,RURAL,NA,59,82,7833
359,JUCUARAN,1110,1110,URBANO,NA,NA,130,1010
360,JUCUARAN,1110,1110,RURAL,1,28,143,12112
361,MERCEDES UMA?A,1111,1111,URBANO,3,22,318,2762
362,MERCEDES UMA?A,1111,1111,RURAL,NA,83,129,9775
363,NUEVA GRANADA,1112,1112,URBANO,NA,1,48,1262
364,NUEVA GRANADA,1112,1112,RURAL,NA,34,62,6044
365,OZATLAN,1113,1113,URBANO,NA,8,225,4850
366,OZATLAN,1113,1113,RURAL,NA,30,79,7251
367,PUERTO EL TRIUNFO,1114,1114,URBANO,NA,33,516,9052
368,PUERTO EL TRIUNFO,1114,1114,RURAL,NA,20,81,6882
369,SAN AGUSTIN,1115,1115,URBANO,NA,38,68,3019
370,SAN AGUSTIN,1115,1115,RURAL,NA,18,23,3352
371,SAN BUENA VENTURA,1116,1116,URBANO,NA,16,140,783
372,SAN BUENA VENTURA,1116,1116,RURAL,NA,49,99,3639
373,SAN DIONISIO,1117,1117,URBANO,NA,6,33,1242
374,SAN DIONISIO,1117,1117,RURAL,NA,11,38,3615
