ID,ID_Alf,Año,Codigo_Departamento,Departamento,Codigo_Municipio_Alf,Codigo_Municipio,Municipio,Territorios_Funcionales,PESS,Tamaño_Municipio,Poblacion,Poblacion_Hombres,Poblacion_Mujeres,Homicidios_PNC,Hom_Multiple,Amenazas,Privacion_Libertad_PNC,Homicidios_Fuego_IML,Homicidios_IML,Homicidios_Mujeres_IML,Lesiones_IML,Lesiones_Mujeres_IML,Lesiones_Hombres,Lesiones_Fuego_IML,Violacion_IML,Vsexual_IML,Violacion_Mujeres_IML,Robo_Hombres_FGR,Robo_Mujeres_FGR,Robo_FGR,Extorsion_FGR,Ingresos_Tasas,Deflactor,Ingresos_Real,ingreso_real_hab,Consumo_KW,Consumo_KW_hab,Pobreza_FISDL,Homicidios_Habitantes,Amenazas_Habitantes,Privacion_Habitantes,Lesiones_Habitantes,Vsexual_Habitantes,Robo_Habitantes,Extorsion_Habitantes
4062008,04062008,2008,4,CHALATENANGO,0406,406,CONCEPCION QUEZALTEPEQUE,,No Pertenece,Pequeño,6593,,,1,0,0,0,1,1,1,6,3,3,0,0,3,0,0,0,0,1,45271.04,88.3,51269.58097395243,7.776365756988525,1726273.66,261.8343200683594,61.7,15.167602,0,0,91.005615,45.502808,0,15.167602
4072008,04072008,2008,4,CHALATENANGO,0407,407,CHALATENANGO,,No Pertenece,Grande,29930,,,9,7,34,4,2,10,0,80,31,49,2,12,22,10,1,0,7,15,371816.46,88.3,421083.1936579841,14.06893444061279,16931973.03,565.7191162109375,37.8,33.411293,113.5984,13.364517,267.29034,73.504845,23.387905,50.11694
4082008,04082008,2008,4,CHALATENANGO,0408,408,DULCE NOMBRE DE MARIA,,No Pertenece,Pequeño,5118,,,2,0,3,0,1,2,0,6,0,6,1,0,0,0,0,0,1,0,28282.54,88.3,32030.05662514156,6.258315086364746,1777531.290000001,347.3097534179688,58.4,39.077766,58.616646,0,117.23329,0,19.538883,0
4092008,04092008,2008,4,CHALATENANGO,0409,409,EL CARRIZAL,,No Pertenece,Pequeño,2501,,,0,0,4,0,0,0,0,3,1,2,0,3,3,2,0,0,0,1,13558.4,88.3,15354.92638731597,6.139514923095703,590196.16,235.9840698242188,71.59999999999999,0,159.93602,0,119.95202,119.95202,0,39.984005
4102008,04102008,2008,4,CHALATENANGO,0410,410,EL PARAISO,,No Pertenece,Mediano,10912,,,3,0,9,0,1,3,0,28,10,18,3,2,7,1,0,0,0,1,58380.31,88.3,66115.86636466591,6.059005260467529,3942161.51,361.2684631347656,48.8,27.492668,82.478004,0,256.59824,64.149559,0,9.1642227
4112008,04112008,2008,4,CHALATENANGO,0411,411,LA LAGUNA,,No Pertenece,Pequeño,3992,,,0,0,9,0,0,0,0,5,2,3,0,1,3,1,0,0,0,0,20454.42,88.3,23164.6885617214,5.802777767181397,806106.9,201.9305877685547,71.09999999999999,0,225.4509,0,125.2505,75.150299,0,0
4122008,04122008,2008,4,CHALATENANGO,0412,412,LA PALMA,,No Pertenece,Mediano,12581,,,0,0,10,0,0,0,0,20,4,16,2,2,4,2,0,0,0,0,75720.85000000001,88.3,85754.07701019255,6.816157341003418,3371055.15,267.9481201171875,52.4,0,79.48494,0,158.96988,31.793976,0,0
4132008,04132008,2008,4,CHALATENANGO,0413,413,LA REINA,,No Pertenece,Pequeño,9744,,,2,0,9,0,1,2,0,11,1,10,2,3,6,3,4,0,5,0,43556.03,88.3,49327.32729331824,5.062328338623047,1961802.67,201.3344268798828,48.6,20.525452,92.364532,0,112.88998,61.576355,51.313629,0
4142008,04142008,2008,4,CHALATENANGO,0414,414,LAS VUELTAS,,No Pertenece,Pequeño,922,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12174.82,88.3,13788.0181200453,14.95446681976318,305417.88,331.2558288574219,75.2,0,108.45987,0,0,0,0,108.45987
4152008,04152008,2008,4,CHALATENANGO,0415,415,NOMBRE DE JESUS,,No Pertenece,Pequeño,4547,,,1,0,1,0,1,1,0,4,1,3,1,1,1,1,0,0,0,2,19477.01,88.3,22057.76896942242,4.851059913635254,842037.4199999998,185.1852722167969,62.7,21.992523,21.992523,0,87.970093,21.992523,0,43.985046
