,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
390,CIUDAD BARRIOS,1202,1203,RURAL,NA,411,10,15764
391,COMACARAN,1203,1204,URBANO,NA,12,3,433
392,COMACARAN,1203,1204,RURAL,NA,57,8,2686
393,CHAPELTIQUE,1204,1205,URBANO,NA,26,79,2267
394,CHAPELTIQUE,1204,1205,RURAL,NA,236,56,8064
395,CHINAMECA,1205,1206,URBANO,NA,144,184,5895
396,CHINAMECA,1205,1206,RURAL,NA,653,33,15402
397,CHIRILAGUA,1206,1207,URBANO,NA,69,43,2995
398,CHIRILAGUA,1206,1207,RURAL,NA,465,30,16382
399,EL TRANSITO,1207,1208,URBANO,NA,77,155,7380
400,EL TRANSITO,1207,1208,RURAL,NA,110,17,10624
401,LOLOTIQUE,1208,1209,URBANO,NA,84,15,4309
402,LOLOTIQUE,1208,1209,RURAL,NA,180,222,10106
403,MONCAGUA,1209,1210,URBANO,NA,52,81,6314
404,MONCAGUA,1209,1210,RURAL,NA,273,21,15918
405,NUEVA GUADALUPE,1210,1211,URBANO,NA,61,98,4905
406,NUEVA GUADALUPE,1210,1211,RURAL,1,19,11,3810
407,NUEVO EDEN DE SAN JUAN,1211,1212,URBANO,6,7,NA,568
408,NUEVO EDEN DE SAN JUAN,1211,1212,RURAL,NA,48,4,3401
409,QUELEPA,1212,1213,URBANO,NA,20,14,2328
410,QUELEPA,1212,1213,RURAL,NA,62,21,1604
411,SAN ANTONIO,1213,1214,URBANO,NA,7,NA,419
412,SAN ANTONIO,1213,1214,RURAL,NA,52,NA,4826
413,SAN GERARDO,1214,1215,URBANO,NA,30,33,921
414,SAN GERARDO,1214,1215,RURAL,NA,19,4,4979
415,SAN JORGE,1215,1216,URBANO,NA,106,12,2480
