"NOM_DPTO,C,254","COD_DPTO,C,254","NOM_MUN,C,254","COD_MUN4,C,254","TASA_POBR,N,19,11","POBR_FISDL,C,20","AREA_KM2,N,19,11","POB_TOTAL,N,9,0","POB_HOMB,N,9,0","POB_MUJER,N,9,0","value,N,24,15","area_calc,N,11,2","value_int,N,2,0"
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830025.99,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,829084.02,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830028.71,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,49618.90,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,205357.36,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,830031.40,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,588378.27,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,830034.06,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830028.75,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830031.44,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,450510.67,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830034.10,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830036.72,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830039.30,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,296281.16,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,191189.92,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,622247.64,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,825074.05,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,829993.70,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,829996.80,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,829999.87,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.500000000000000,830002.91,3
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,165485.99,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,830005.91,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.000000000000000,744961.91,3
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,830008.88,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.500000000000000,830028.66,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,830011.81,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,818392.61,5
